epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,124.035,0.92335,0.63181,1.148,0.90968,1,0.995,0.65629,1.20877,0.61182,1.46543,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
46,126.484,0.85954,0.64895,1.12575,0.9172,1,0.995,0.667,1.25162,0.64386,1.50664,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049
47,128.937,0.77925,0.62994,1.07844,0.90838,1,0.995,0.64041,1.29401,0.60912,1.4666,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
48,131.343,0.76598,0.59645,1.09969,0.92277,1,0.995,0.62581,1.27067,0.61818,1.39286,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052
49,133.699,0.78652,0.59951,1.06951,0.92134,1,0.995,0.60993,1.23649,0.62781,1.37608,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
50,136.238,0.83206,0.55241,1.14298,0.93137,1,0.995,0.61666,1.18052,0.61464,1.354,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054
51,138.676,0.80211,0.60328,1.08647,0.93934,1,0.995,0.67482,1.1124,0.59965,1.29862,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
52,141.199,0.79426,0.58648,1.07839,0.951,1,0.995,0.67698,1.0705,0.57428,1.28406,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056
53,143.647,0.7664,0.56391,1.06284,0.95388,1,0.995,0.67783,1.05442,0.6015,1.26502,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
54,146.215,0.78875,0.55349,1.07118,0.9517,1,0.995,0.69068,1.04188,0.63571,1.2506,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058
55,148.762,0.82122,0.57196,1.10522,0.94829,1,0.995,0.66585,1.06951,0.62569,1.26799,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
56,151.257,0.78397,0.56609,1.07921,0.95296,1,0.995,0.66363,1.09373,0.63827,1.27998,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606
57,153.622,0.7883,0.5923,1.08031,0.95345,1,0.995,0.66588,1.09212,0.62933,1.26558,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
58,156.037,0.79881,0.58333,1.0734,0.95284,1,0.995,0.66765,1.0599,0.61894,1.28642,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063
59,158.496,0.79677,0.55678,1.04831,0.96377,1,0.995,0.63568,1.04116,0.62674,1.32687,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
60,161,0.83134,0.53198,1.05253,0.96521,1,0.995,0.63569,1.04335,0.67482,1.33864,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065
61,163.354,0.71517,0.53186,1.05707,0.96291,1,0.995,0.64292,1.06161,0.70649,1.38788,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
62,165.821,0.75553,0.53994,1.06493,0.94962,1,0.995,0.64646,1.08567,0.71892,1.45074,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067
63,168.315,0.79554,0.58288,1.10716,0.95305,1,0.995,0.67924,1.06971,0.70871,1.4348,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
64,170.811,0.77801,0.52003,1.05275,0.93914,1,0.995,0.65277,1.06183,0.7101,1.42024,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069
65,173.267,0.77325,0.54073,1.07055,0.93568,1,0.995,0.66434,1.05074,0.71421,1.39703,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
66,175.754,0.75567,0.49874,1.06112,0.92485,1,0.995,0.66351,1.0598,0.65664,1.39021,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071
67,178.256,0.76113,0.53528,1.08487,0.93289,1,0.995,0.66351,1.06943,0.59888,1.36507,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
68,180.691,0.75207,0.47228,1.05007,0.93986,1,0.995,0.68402,1.08583,0.59097,1.3418,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074
69,183.024,0.772,0.49169,1.1051,0.94483,1,0.995,0.67482,1.08313,0.6135,1.34894,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
70,185.464,0.76652,0.50228,1.07814,0.9492,1,0.995,0.68754,1.09069,0.63491,1.35919,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076
71,187.825,0.76512,0.50491,1.10313,0.94384,1,0.995,0.69399,1.06874,0.58163,1.31719,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
72,190.222,0.74108,0.47403,1.03749,0.94209,1,0.995,0.69412,1.06748,0.55729,1.2881,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078
73,192.518,0.7983,0.51612,1.08361,0.94038,1,0.995,0.69415,1.07398,0.55226,1.2948,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
74,194.91,0.73425,0.47494,1.06135,0.93745,1,0.995,0.69672,1.09561,0.54761,1.30762,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808
75,197.286,0.68984,0.49667,1.06077,0.94344,1,0.995,0.69732,1.11265,0.52255,1.32781,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
76,199.707,0.75737,0.52543,1.0842,0.94923,1,0.995,0.7057,1.1263,0.51747,1.32521,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083
77,202.075,0.72531,0.51303,1.05741,0.95461,1,0.995,0.70361,1.12132,0.52102,1.32036,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
78,204.523,0.68831,0.47283,1.00467,0.96376,1,0.995,0.70403,1.12032,0.53982,1.32342,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085
79,206.938,0.70435,0.46728,1.0357,0.97161,1,0.995,0.67588,1.11386,0.56842,1.31637,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
80,209.42,0.74438,0.49308,1.05692,0.97721,1,0.995,0.67328,1.09276,0.59963,1.29444,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087
81,211.772,0.72759,0.48858,1.03195,0.97772,1,0.995,0.67298,1.09491,0.61199,1.29979,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
82,214.287,0.72359,0.47808,1.04161,0.9737,1,0.995,0.67086,1.10731,0.61357,1.31071,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089
83,216.772,0.74697,0.48357,1.0705,0.968,1,0.995,0.65779,1.1287,0.58205,1.3605,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
84,219.298,0.76315,0.53722,1.11457,0.96041,1,0.995,0.64443,1.19084,0.56072,1.47243,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091
85,221.716,0.7288,0.5068,1.0979,0.95869,1,0.995,0.6519,1.22429,0.55044,1.55205,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
86,224.301,0.71034,0.48755,1.0503,0.95764,1,0.995,0.64751,1.24454,0.56854,1.62341,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094
87,226.786,0.72141,0.49577,1.07699,0.95624,1,0.995,0.64979,1.22291,0.62391,1.62709,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
88,229.308,0.7138,0.50234,1.05557,0.95577,1,0.995,0.65529,1.20545,0.65523,1.62913,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096
89,231.787,0.68336,0.48687,1.06301,0.9545,1,0.995,0.65531,1.19808,0.66313,1.62332,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
90,234.239,0.66244,0.46246,1.03262,0.95256,1,0.995,0.65875,1.09382,0.76549,1.46058,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098
91,259.562,0.63781,0.4341,1.03563,0.95241,1,0.995,0.65012,1.13612,0.68069,1.51285,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
92,262.055,0.67666,0.45553,1.09707,0.94927,1,0.995,0.65313,1.15158,0.64322,1.54133,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101
93,264.409,0.6348,0.45843,1.03534,0.94644,1,0.995,0.65254,1.13935,0.63875,1.51874,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
94,266.809,0.64004,0.43435,1.05281,0.94525,1,0.995,0.65193,1.13557,0.62673,1.49072,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05
95,269.225,0.59798,0.41438,1.01997,0.94432,1,0.995,0.65185,1.11914,0.6215,1.4737,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05
96,271.626,0.63593,0.44025,1.06988,0.94197,1,0.995,0.65199,1.12628,0.57395,1.47345,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05
97,274.016,0.62419,0.4255,1.06993,0.94062,1,0.995,0.66588,1.12383,0.56547,1.47376,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
98,276.535,0.61297,0.41478,1.03736,0.94149,1,0.995,0.66503,1.13039,0.54531,1.48894,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05
99,278.978,0.62859,0.44744,1.04797,0.93986,1,0.995,0.66444,1.12825,0.53938,1.4752,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05
100,281.373,0.58403,0.42084,1.01074,0.94027,1,0.995,0.66191,1.12371,0.52703,1.46759,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05
